id;domain;priority;method;control;scenario;evidence;acceptance;initial_state;source;required_run;result;owner;executed_at;evidence_path;notes;bug_or_commit
INT-012;1. Integridade;P0;AUTO;Limpeza de papéis temporários;Forçar escanteios, faltas, pênaltis e laterais em sequência.;dump de papéis antes/depois;Papéis especiais zerados ao terminar cada reinício.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/1_Integridade/INT-012/;;
INT-013;1. Integridade;P0;DIR;Integridade do torneio;Completar grupos, mata-mata, prorrogação e final.;save + vídeo do chaveamento;Classificados, confrontos e campeão correspondem aos resultados.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/1_Integridade/INT-013/;;
INT-014;1. Integridade;P0;DIR;Integridade do draft;Completar draft com 10/11 jogadores, reservas e reroll.;vídeo + estado serializado;Não trava, não duplica atleta e sempre permite concluir elenco válido.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/1_Integridade/INT-014/;;
INT-015;1. Integridade;P1;AUTO;Integridade de formação;Salvar e reabrir cada uma das 17 formações.;snapshot antes/depois;Posições, titulares, reservas e instruções preservados.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/1_Integridade/INT-015/;;
INT-016;1. Integridade;P0;DIR;Integridade de táticas;Alternar mentalidade, estilo e instruções durante a partida.;timeline de alterações;Mudanças persistem, afetam somente o esperado e não corrompem o motor.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/1_Integridade/INT-016/;;
INT-017;1. Integridade;P0;DIR;Integridade de substituições;Executar substituição normal, múltipla e no intervalo.;log de escalação + vídeo;Jogador sai uma vez, entra uma vez e posição fica válida.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/1_Integridade/INT-017/;;
INT-018;1. Integridade;P1;AUTO;Integridade de cartões e suspensões;Gerar cartões em sequência de jogos de torneio.;relatório disciplinar;Cartões acumulam e suspendem conforme regra definida, sem duplicação.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/1_Integridade/INT-018/;;
INT-019;1. Integridade;P0;DIR;Integridade de prorrogação;Produzir empate eliminatório.;vídeo + relógio de jogo;Tempo extra inicia, encerra e atualiza resultado corretamente.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/1_Integridade/INT-019/;;
INT-020;1. Integridade;P0;DIR;Integridade de disputa por pênaltis;Levar confronto a pênaltis com alternadas.;sequência de cobranças;"Ordem, placar e encerramento obedecem regra; sem loop infinito.";PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/1_Integridade/INT-020/;;
INT-021;1. Integridade;P0;DIR;Integridade do salvamento;Salvar em menu, pré-jogo e entre fases.;arquivos de save + checksum;Save é criado, listado e reaberto sem perda de dados.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/1_Integridade/INT-021/;;
INT-022;1. Integridade;P1;DIR;Compatibilidade de save anterior;Abrir save suportado da versão anterior.;log de migração;"Migra sem corromper; incompatibilidade deve ser explicada e bloqueada com segurança.";PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/1_Integridade/INT-022/;;
INT-023;1. Integridade;P1;DIR;Falha segura em save corrompido;Alterar propositalmente o conteúdo do save.;vídeo do erro + console;Jogo recusa o arquivo, explica o problema e mantém o estado atual.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/1_Integridade/INT-023/;;
INT-024;1. Integridade;P1;AUTO;Inventário de assets embutidos;Listar imagens, fontes, áudios e dados usados pelo build.;manifesto de assets;Nenhuma referência ausente, duplicada indevidamente ou órfã crítica.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/1_Integridade/INT-024/;;
INT-025;1. Integridade;P1;AUTO;Integridade de nomes e bandeiras;Percorrer todas as seleções e elencos expostos.;relatório de chaves inválidas;Zero nome vazio, bandeira quebrada ou chave sem correspondência.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/1_Integridade/INT-025/;;
INT-026;1. Integridade;P1;AUTO;Integridade de posições de jogador;Validar titulares e reservas contra posições permitidas.;lista de incompatibilidades;Nenhum jogador fica sem posição renderizável ou fora do campo por dado inválido.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/1_Integridade/INT-026/;;
INT-027;1. Integridade;P0;AUTO;Integridade do relógio;Testar tempo normal, acréscimos, intervalo e pausas.;timeline de relógio;Relógio é monotônico, não salta para trás e encerra cada período uma vez.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/1_Integridade/INT-027/;;
INT-028;1. Integridade;P0;DIR;Integridade de reinício após gol;Marcar gol válido e reiniciar.;vídeo + coordenadas;"Todos voltam a posições válidas; posse e placar corretos; VFX limpo.";PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/1_Integridade/INT-028/;;
INT-029;1. Integridade;P0;DIR;Integridade de reinício após anulação;Gerar impedimento ou falta que anule gol.;vídeo + log;"Placar não muda; evento de anulação aparece uma vez; jogo reinicia corretamente.";PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/1_Integridade/INT-029/;;
INT-030;1. Integridade;P0;AUTO;Ausência de teleporte lógico;Medir deslocamentos de bola e atletas entre frames.;relatório de deltas espaciais;Nenhum deslocamento supera limite físico sem estado explícito de reposicionamento.;BASELINE R13.0;AUDITORIA 650;True;PENDENTE;;;evidence/1_Integridade/INT-030/;;
INT-031;1. Integridade;P0;AUTO;Ausência de entidade duplicada;Monitorar IDs de bola, atletas e goleiros durante 20 partidas.;inventário por frame;Exatamente uma bola e um objeto visual por atleta ativo.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/1_Integridade/INT-031/;;
INT-032;1. Integridade;P1;DIR;Recuperação após pausa longa;Pausar por cinco minutos e retomar.;vídeo + memória antes/depois;Retoma no mesmo estado, sem aceleração acumulada ou perda de input.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/1_Integridade/INT-032/;;
INT-033;1. Integridade;P0;DIR;Recuperação após troca de aba;Ocultar a aba durante jogo e retornar.;vídeo + timeline visibilitychange;Sem salto de vários segundos, loop duplicado ou dessincronia.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/1_Integridade/INT-033/;;
INT-034;1. Integridade;P0;AUTO;Encerramento limpo da partida;Finalizar por tempo normal, prorrogação e pênaltis.;contagem de callbacks finais;Evento de fim dispara uma vez e bloqueia novas ações de jogo.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/1_Integridade/INT-034/;;
INT-035;1. Integridade;P1;MANUAL;Rastreabilidade de release;Relacionar cada alteração 2.5D a commit, controle e evidência.;matriz de rastreabilidade;100% dos P0 e P1 possuem commit e evidência vinculados.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/1_Integridade/INT-035/;;
DET-001;2. Determinismo;P0;AUTO;Repetição da mesma seed;Rodar a mesma partida dez vezes no mesmo ambiente.;hash do log por execução;Eventos e resultado idênticos nas dez execuções.;BASELINE R13.0;AUDITORIA 650;True;PENDENTE;;;evidence/2_Determinismo/DET-001/;;
DET-002;2. Determinismo;P0;AUTO;Repetição entre sessões;Fechar e reabrir o navegador antes de repetir a seed.;hashes antes/depois;Saída lógica idêntica.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/2_Determinismo/DET-002/;;
DET-003;2. Determinismo;P0;AUTO;Repetição após rebuild sem mudança;Gerar dois builds consecutivos da mesma fonte.;hashes do build e dos logs;Build e resultados idênticos.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/2_Determinismo/DET-003/;;
DET-004;2. Determinismo;P0;AUTO;Separação RNG lógica/visual;Ativar e desativar VFX, sombras e rastro.;comparação de logs lógicos;Resultado e sequência de eventos não mudam por opção visual.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/2_Determinismo/DET-004/;;
DET-005;2. Determinismo;P0;AUTO;Velocidade não altera resultado;Repetir seed em 1.0x, 1.8x e 3.6x.;hash lógico por velocidade;"Mesmo resultado, eventos e decisões; apenas tempo de apresentação muda.";PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/2_Determinismo/DET-005/;;
DET-006;2. Determinismo;P0;AUTO;Pausa não altera resultado;Pausar em cinco instantes predefinidos.;comparação de timeline;Saída lógica igual à execução sem pausa.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/2_Determinismo/DET-006/;;
DET-007;2. Determinismo;P0;AUTO;Troca de aba não altera resultado;Ocultar a aba em instantes predefinidos.;hash lógico;Saída lógica permanece idêntica.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/2_Determinismo/DET-007/;;
DET-008;2. Determinismo;P0;AUTO;FPS não altera resultado;Executar com limite de 30, 60 e 120 FPS.;hash lógico + frame log;Mesmo resultado e eventos em todos os limites.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/2_Determinismo/DET-008/;;
DET-009;2. Determinismo;P0;AUTO;Resolução não altera resultado;Executar desktop, tablet e mobile com mesma seed.;hash lógico;"Geometria visual pode mudar; lógica e placar não.";PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/2_Determinismo/DET-009/;;
DET-010;2. Determinismo;P0;AUTO;Orientação não altera resultado;Rotacionar retrato/paisagem durante a mesma seed.;hash lógico;Nenhuma decisão lógica é afetada.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/2_Determinismo/DET-010/;;
DET-011;2. Determinismo;P0;AUTO;Input de UI isolado do RNG;Abrir abas de estatística e tática durante a partida.;comparação de logs;A navegação de UI não consome aleatoriedade do motor.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/2_Determinismo/DET-011/;;
DET-012;2. Determinismo;P1;AUTO;Narração isolada do RNG;Ativar/desativar ou rolar narração.;hash lógico;Sem alteração de eventos ou resultado.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/2_Determinismo/DET-012/;;
DET-013;2. Determinismo;P1;AUTO;Áudio isolado do RNG;Ativar/desativar áudio.;hash lógico;Sem alteração lógica.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/2_Determinismo/DET-013/;;
DET-014;2. Determinismo;P0;AUTO;Salvar e carregar preserva seed;Salvar no intervalo e continuar em nova sessão.;comparação do segundo tempo;Segundo tempo idêntico ao fluxo contínuo.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/2_Determinismo/DET-014/;;
DET-015;2. Determinismo;P0;AUTO;Substituição reproduzível;Aplicar mesma substituição no mesmo instante.;log pós-substituição;Sequência posterior idêntica.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/2_Determinismo/DET-015/;;
DET-016;2. Determinismo;P0;AUTO;Mudança tática reproduzível;Aplicar mesma instrução no mesmo segundo.;log de decisões;Sequência posterior idêntica.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/2_Determinismo/DET-016/;;
DET-017;2. Determinismo;P0;AUTO;Ordem estável de entidades;Comparar ordem de atualização de atletas entre execuções.;trace de IDs por tick;Ordem de processamento é estável ou explicitamente normalizada.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/2_Determinismo/DET-017/;;
DET-018;2. Determinismo;P1;DIR;Empates de decisão resolvidos por regra;Forçar dois alvos com pontuação igual.;trace do seletor;Desempate usa regra determinística documentada.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/2_Determinismo/DET-018/;;
DET-019;2. Determinismo;P0;AUTO;Timestamps lógicos estáveis;Comparar tempo de cada evento em execuções idênticas.;CSV de eventos;Timestamps lógicos iguais dentro de tolerância de um tick.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/2_Determinismo/DET-019/;;
DET-020;2. Determinismo;P0;AUTO;Deltas espaciais estáveis;Comparar coordenadas amostradas a cada segundo.;telemetria espacial;Diferença máxima abaixo de 0,01 unidade lógica.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/2_Determinismo/DET-020/;;
DET-021;2. Determinismo;P1;DIR;Determinismo de rebotes;Forçar chute na trave e desvio com seed fixa.;vídeo + coordenadas;Mesmo vetor de rebote em execuções idênticas.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/2_Determinismo/DET-021/;;
DET-022;2. Determinismo;P1;DIR;Determinismo de disputa aérea;Forçar cruzamento com mesmos participantes.;trace de decisão;Vencedor e trajetória idênticos com mesma seed.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/2_Determinismo/DET-022/;;
DET-023;2. Determinismo;P1;DIR;Determinismo de goleiro;Repetir cenário de defesa, soco e saída.;trace do goleiro;Mesma decisão e ponto de contato.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/2_Determinismo/DET-023/;;
DET-024;2. Determinismo;P0;DIR;Determinismo de impedimento;Repetir corrida e passe na linha.;frame do passe + decisão;Mesma decisão e mesmo atleta identificado.;BASELINE R13.0;AUDITORIA 650;True;PENDENTE;;;evidence/2_Determinismo/DET-024/;;
DET-025;2. Determinismo;P1;AUTO;Determinismo de acréscimos;Repetir partida com mesmos eventos de interrupção.;tempo de acréscimo;Mesmo acréscimo em todas as execuções.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/2_Determinismo/DET-025/;;
DET-026;2. Determinismo;P1;AUTO;Determinismo de pênaltis;Repetir disputa completa com seed fixa.;sequência de cobranças;Mesma ordem, lado, resultado e encerramento.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/2_Determinismo/DET-026/;;
DET-027;2. Determinismo;P0;AUTO;Determinismo da matriz de formações;Reexecutar amostra neutra de 578 partidas.;comparação agregada e por seed;Todas as assinaturas individuais e agregadas reproduzidas.;BASELINE R13.0;AUDITORIA 650;True;PENDENTE;;;evidence/2_Determinismo/DET-027/;;
DET-028;2. Determinismo;P0;AUTO;Determinismo da matriz de estilos;Reexecutar 98 partidas.;comparação por seed;Todas as assinaturas reproduzidas.;BASELINE R13.0;AUDITORIA 650;True;PENDENTE;;;evidence/2_Determinismo/DET-028/;;
DET-029;2. Determinismo;P0;AUTO;Determinismo da amostra diversa;Reexecutar 200 partidas.;comparação por seed;Todas as assinaturas reproduzidas.;BASELINE R13.0;AUDITORIA 650;True;PENDENTE;;;evidence/2_Determinismo/DET-029/;;
DET-030;2. Determinismo;P0;AUTO;Determinismo após minificação;Comparar build de desenvolvimento e produção.;hash de eventos;Mesmo comportamento lógico.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/2_Determinismo/DET-030/;;
CAD-001;3. Cadência;P0;AUTO+VIS;Saída curta: duração da fase;Observar goleiro e primeira linha iniciando sob pressão moderada, em velocidade normal 1.0x, com câmera e VFX definitivos.;timeline de fases + vídeo;A fase dura tempo suficiente para ser reconhecida, sem congelar ou se prolongar artificialmente.;BASELINE R13.0;AUDITORIA 650;True;PENDENTE;;;evidence/3_Cad_ncia/CAD-001/;;
CAD-002;3. Cadência;P0;AUTO+VIS;Saída curta: aceleração contextual;Observar goleiro e primeira linha iniciando sob pressão moderada, em velocidade normal 1.0x, com câmera e VFX definitivos.;velocidade média de bola/atletas + vídeo;"Acelera quando surge espaço real e desacelera quando o espaço fecha; não usa velocidade constante.";BASELINE R13.0;AUDITORIA 650;True;PENDENTE;;;evidence/3_Cad_ncia/CAD-002/;;
CAD-003;3. Cadência;P1;VIS;Saída curta: micro-pausas de decisão;Observar goleiro e primeira linha iniciando sob pressão moderada, em velocidade normal 1.0x, com câmera e VFX definitivos.;clipe de 20–30 s em 1.0x;Existem ajustes corporais e leitura de jogo, mas nenhuma parada sem causa superior a 0,8 s.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/3_Cad_ncia/CAD-003/;;
CAD-004;3. Cadência;P0;AUTO+VIS;Saída curta: reação coletiva;Observar goleiro e primeira linha iniciando sob pressão moderada, em velocidade normal 1.0x, com câmera e VFX definitivos.;telemetria das linhas + vídeo;Ao mudar a fase, ao menos duas linhas reagem de forma coordenada dentro de 1,2 s lógicos.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/3_Cad_ncia/CAD-004/;;
CAD-005;3. Cadência;P1;PAINEL HUMANO;Saída curta: legibilidade humana;Observar goleiro e primeira linha iniciando sob pressão moderada, em velocidade normal 1.0x, com câmera e VFX definitivos.;avaliação cega de 3 observadores;Pelo menos 2 de 3 identificam corretamente a fase e a intenção principal sem consultar logs.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/3_Cad_ncia/CAD-005/;;
CAD-006;3. Cadência;P0;AUTO+VIS;Circulação no meio: duração da fase;Observar posse estabilizada entre zagueiros, volantes e meias, em velocidade normal 1.0x, com câmera e VFX definitivos.;timeline de fases + vídeo;A fase dura tempo suficiente para ser reconhecida, sem congelar ou se prolongar artificialmente.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/3_Cad_ncia/CAD-006/;;
CAD-007;3. Cadência;P0;AUTO+VIS;Circulação no meio: aceleração contextual;Observar posse estabilizada entre zagueiros, volantes e meias, em velocidade normal 1.0x, com câmera e VFX definitivos.;velocidade média de bola/atletas + vídeo;"Acelera quando surge espaço real e desacelera quando o espaço fecha; não usa velocidade constante.";PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/3_Cad_ncia/CAD-007/;;
CAD-008;3. Cadência;P1;VIS;Circulação no meio: micro-pausas de decisão;Observar posse estabilizada entre zagueiros, volantes e meias, em velocidade normal 1.0x, com câmera e VFX definitivos.;clipe de 20–30 s em 1.0x;Existem ajustes corporais e leitura de jogo, mas nenhuma parada sem causa superior a 0,8 s.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/3_Cad_ncia/CAD-008/;;
CAD-009;3. Cadência;P0;AUTO+VIS;Circulação no meio: reação coletiva;Observar posse estabilizada entre zagueiros, volantes e meias, em velocidade normal 1.0x, com câmera e VFX definitivos.;telemetria das linhas + vídeo;Ao mudar a fase, ao menos duas linhas reagem de forma coordenada dentro de 1,2 s lógicos.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/3_Cad_ncia/CAD-009/;;
CAD-010;3. Cadência;P1;PAINEL HUMANO;Circulação no meio: legibilidade humana;Observar posse estabilizada entre zagueiros, volantes e meias, em velocidade normal 1.0x, com câmera e VFX definitivos.;avaliação cega de 3 observadores;Pelo menos 2 de 3 identificam corretamente a fase e a intenção principal sem consultar logs.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/3_Cad_ncia/CAD-010/;;
CAD-011;3. Cadência;P0;AUTO+VIS;Progressão pelo corredor: duração da fase;Observar lateral, ponta e meia avançando por um lado, em velocidade normal 1.0x, com câmera e VFX definitivos.;timeline de fases + vídeo;A fase dura tempo suficiente para ser reconhecida, sem congelar ou se prolongar artificialmente.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/3_Cad_ncia/CAD-011/;;
CAD-012;3. Cadência;P0;AUTO+VIS;Progressão pelo corredor: aceleração contextual;Observar lateral, ponta e meia avançando por um lado, em velocidade normal 1.0x, com câmera e VFX definitivos.;velocidade média de bola/atletas + vídeo;"Acelera quando surge espaço real e desacelera quando o espaço fecha; não usa velocidade constante.";PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/3_Cad_ncia/CAD-012/;;
CAD-013;3. Cadência;P1;VIS;Progressão pelo corredor: micro-pausas de decisão;Observar lateral, ponta e meia avançando por um lado, em velocidade normal 1.0x, com câmera e VFX definitivos.;clipe de 20–30 s em 1.0x;Existem ajustes corporais e leitura de jogo, mas nenhuma parada sem causa superior a 0,8 s.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/3_Cad_ncia/CAD-013/;;
CAD-014;3. Cadência;P0;AUTO+VIS;Progressão pelo corredor: reação coletiva;Observar lateral, ponta e meia avançando por um lado, em velocidade normal 1.0x, com câmera e VFX definitivos.;telemetria das linhas + vídeo;Ao mudar a fase, ao menos duas linhas reagem de forma coordenada dentro de 1,2 s lógicos.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/3_Cad_ncia/CAD-014/;;
CAD-015;3. Cadência;P1;PAINEL HUMANO;Progressão pelo corredor: legibilidade humana;Observar lateral, ponta e meia avançando por um lado, em velocidade normal 1.0x, com câmera e VFX definitivos.;avaliação cega de 3 observadores;Pelo menos 2 de 3 identificam corretamente a fase e a intenção principal sem consultar logs.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/3_Cad_ncia/CAD-015/;;
CAD-016;3. Cadência;P0;AUTO+VIS;Ataque posicional: duração da fase;Observar equipe instalada contra bloco organizado, em velocidade normal 1.0x, com câmera e VFX definitivos.;timeline de fases + vídeo;A fase dura tempo suficiente para ser reconhecida, sem congelar ou se prolongar artificialmente.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/3_Cad_ncia/CAD-016/;;
CAD-017;3. Cadência;P0;AUTO+VIS;Ataque posicional: aceleração contextual;Observar equipe instalada contra bloco organizado, em velocidade normal 1.0x, com câmera e VFX definitivos.;velocidade média de bola/atletas + vídeo;"Acelera quando surge espaço real e desacelera quando o espaço fecha; não usa velocidade constante.";PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/3_Cad_ncia/CAD-017/;;
CAD-018;3. Cadência;P1;VIS;Ataque posicional: micro-pausas de decisão;Observar equipe instalada contra bloco organizado, em velocidade normal 1.0x, com câmera e VFX definitivos.;clipe de 20–30 s em 1.0x;Existem ajustes corporais e leitura de jogo, mas nenhuma parada sem causa superior a 0,8 s.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/3_Cad_ncia/CAD-018/;;
CAD-019;3. Cadência;P0;AUTO+VIS;Ataque posicional: reação coletiva;Observar equipe instalada contra bloco organizado, em velocidade normal 1.0x, com câmera e VFX definitivos.;telemetria das linhas + vídeo;Ao mudar a fase, ao menos duas linhas reagem de forma coordenada dentro de 1,2 s lógicos.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/3_Cad_ncia/CAD-019/;;
CAD-020;3. Cadência;P1;PAINEL HUMANO;Ataque posicional: legibilidade humana;Observar equipe instalada contra bloco organizado, em velocidade normal 1.0x, com câmera e VFX definitivos.;avaliação cega de 3 observadores;Pelo menos 2 de 3 identificam corretamente a fase e a intenção principal sem consultar logs.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/3_Cad_ncia/CAD-020/;;
CAD-021;3. Cadência;P0;AUTO+VIS;Transição ofensiva: duração da fase;Observar recuperação com espaço e defesa adversária desorganizada, em velocidade normal 1.0x, com câmera e VFX definitivos.;timeline de fases + vídeo;A fase dura tempo suficiente para ser reconhecida, sem congelar ou se prolongar artificialmente.;BASELINE R13.0;AUDITORIA 650;True;PENDENTE;;;evidence/3_Cad_ncia/CAD-021/;;
CAD-022;3. Cadência;P0;AUTO+VIS;Transição ofensiva: aceleração contextual;Observar recuperação com espaço e defesa adversária desorganizada, em velocidade normal 1.0x, com câmera e VFX definitivos.;velocidade média de bola/atletas + vídeo;"Acelera quando surge espaço real e desacelera quando o espaço fecha; não usa velocidade constante.";BASELINE R13.0;AUDITORIA 650;True;PENDENTE;;;evidence/3_Cad_ncia/CAD-022/;;
CAD-023;3. Cadência;P1;VIS;Transição ofensiva: micro-pausas de decisão;Observar recuperação com espaço e defesa adversária desorganizada, em velocidade normal 1.0x, com câmera e VFX definitivos.;clipe de 20–30 s em 1.0x;Existem ajustes corporais e leitura de jogo, mas nenhuma parada sem causa superior a 0,8 s.;PENDENTE 2.5D;AUDITORIA 650;True;PENDENTE;;;evidence/3_Cad_ncia/CAD-023/;;
