lance,seed,minuto,tipo,formacoes,estilos,classificacao_automatica,sinal,status_final,sistema,funcao,causa_raiz,etapa,evidencia
5,15001,63.0,tactical_snapshot,4-3-1-2 x 4-3-3,counter x balanced,P0_SUSPEITA,invasao_lateral,FALSO_POSITIVO,—,—,"Defeito de MEDIÇÃO do coletor, não do motor. A régua usa `y` absoluto igual para os dois times (script:141-142), mas os lados são espelhados por equipe — medido no estado bruto: LB do time 0 tem hy=0,110 e LB do time 1 tem hy=0,785. Todo ala de um dos times é marcado NA PRÓPRIA POSIÇÃO-BASE. Sobre os 120 lances a régua do coletor marca 48,95% das amostras (≈ um time inteiro de alas); a régua relativa à base mede 96,31% de respeito ao lado.",§26 respeito aos lados,lado respeitado neste lance = 1.0000 (coletor dizia invasão em 100% dos quadros)
5,15001,63.0,tactical_snapshot,4-3-1-2 x 4-3-3,counter x balanced,P0_SUSPEITA,ameaca_sem_marcador,CONFIRMADO_P0,defesa,_defendTarget ramo _markRef (30-r13-football-observer.js:561),"Cobertura de ameaça medida em 0,618 sobre 294 partidas (limite 0,65). As cinco tentativas de parâmetro registradas no handoff não moveram a métrica (travada em 0,68–0,71): o gargalo é o CÁLCULO da posição de marcação, não o ajuste. `_defendTarget` decide 27,4% das posições defensivas pelo ramo `_markRef`.",§30 defesa coletiva,persistent_uncovered = 1.00
6,15001,75.0,tactical_snapshot,4-3-1-2 x 4-3-3,counter x balanced,P1_SUSPEITA,invasao_lateral,FALSO_POSITIVO,—,—,"Defeito de MEDIÇÃO do coletor, não do motor. A régua usa `y` absoluto igual para os dois times (script:141-142), mas os lados são espelhados por equipe — medido no estado bruto: LB do time 0 tem hy=0,110 e LB do time 1 tem hy=0,785. Todo ala de um dos times é marcado NA PRÓPRIA POSIÇÃO-BASE. Sobre os 120 lances a régua do coletor marca 48,95% das amostras (≈ um time inteiro de alas); a régua relativa à base mede 96,31% de respeito ao lado.",§26 respeito aos lados,lado respeitado neste lance = 1.0000 (coletor dizia invasão em 100% dos quadros)
6,15001,75.0,tactical_snapshot,4-3-1-2 x 4-3-3,counter x balanced,P1_SUSPEITA,ameaca_sem_marcador,CONFIRMADO_P0,defesa,_defendTarget ramo _markRef (30-r13-football-observer.js:561),"Cobertura de ameaça medida em 0,618 sobre 294 partidas (limite 0,65). As cinco tentativas de parâmetro registradas no handoff não moveram a métrica (travada em 0,68–0,71): o gargalo é o CÁLCULO da posição de marcação, não o ajuste. `_defendTarget` decide 27,4% das posições defensivas pelo ramo `_markRef`.",§30 defesa coletiva,persistent_uncovered = 1.00
7,15002,3.0,tactical_snapshot,4-2-4 x 3-4-3,wings x press,P0_SUSPEITA,velocidade,CONFIRMADO_P1,movimento,commitMovement + guarda global (29-r12:85 e :90),"A guarda de frame permite `maxSpd*dt*1.28 + 0.20` por passo. A 7 m/s e dt=1/30 isso autoriza 0,499 m/passo = 14,9 m/s = 2,14× maxSpd. O teto efetivo do motor é o dobro do atributo do jogador, então `maxSpd` não é limite de velocidade — é sugestão.",§32 física,max_speed_ratio = 1.560× maxSpd (reconferido no estado bruto)
7,15002,3.0,tactical_snapshot,4-2-4 x 3-4-3,wings x press,P0_SUSPEITA,invasao_lateral,FALSO_POSITIVO,—,—,"Defeito de MEDIÇÃO do coletor, não do motor. A régua usa `y` absoluto igual para os dois times (script:141-142), mas os lados são espelhados por equipe — medido no estado bruto: LB do time 0 tem hy=0,110 e LB do time 1 tem hy=0,785. Todo ala de um dos times é marcado NA PRÓPRIA POSIÇÃO-BASE. Sobre os 120 lances a régua do coletor marca 48,95% das amostras (≈ um time inteiro de alas); a régua relativa à base mede 96,31% de respeito ao lado.",§26 respeito aos lados,lado respeitado neste lance = 1.0000 (coletor dizia invasão em 100% dos quadros)
7,15002,3.0,tactical_snapshot,4-2-4 x 3-4-3,wings x press,P0_SUSPEITA,ameaca_sem_marcador,CONFIRMADO_P0,defesa,_defendTarget ramo _markRef (30-r13-football-observer.js:561),"Cobertura de ameaça medida em 0,618 sobre 294 partidas (limite 0,65). As cinco tentativas de parâmetro registradas no handoff não moveram a métrica (travada em 0,68–0,71): o gargalo é o CÁLCULO da posição de marcação, não o ajuste. `_defendTarget` decide 27,4% das posições defensivas pelo ramo `_markRef`.",§30 defesa coletiva,persistent_uncovered = 0.92
8,15002,17.0,run_burst,4-2-4 x 3-4-3,wings x press,P0_SUSPEITA,velocidade,CONFIRMADO_P1,movimento,commitMovement + guarda global (29-r12:85 e :90),"A guarda de frame permite `maxSpd*dt*1.28 + 0.20` por passo. A 7 m/s e dt=1/30 isso autoriza 0,499 m/passo = 14,9 m/s = 2,14× maxSpd. O teto efetivo do motor é o dobro do atributo do jogador, então `maxSpd` não é limite de velocidade — é sugestão.",§32 física,max_speed_ratio = 1.356× maxSpd (reconferido no estado bruto)
8,15002,17.0,run_burst,4-2-4 x 3-4-3,wings x press,P0_SUSPEITA,invasao_lateral,FALSO_POSITIVO,—,—,"Defeito de MEDIÇÃO do coletor, não do motor. A régua usa `y` absoluto igual para os dois times (script:141-142), mas os lados são espelhados por equipe — medido no estado bruto: LB do time 0 tem hy=0,110 e LB do time 1 tem hy=0,785. Todo ala de um dos times é marcado NA PRÓPRIA POSIÇÃO-BASE. Sobre os 120 lances a régua do coletor marca 48,95% das amostras (≈ um time inteiro de alas); a régua relativa à base mede 96,31% de respeito ao lado.",§26 respeito aos lados,lado respeitado neste lance = 1.0000 (coletor dizia invasão em 100% dos quadros)
9,15002,30.0,bad_pass,4-2-4 x 3-4-3,wings x press,P1_SUSPEITA,invasao_lateral,FALSO_POSITIVO,—,—,"Defeito de MEDIÇÃO do coletor, não do motor. A régua usa `y` absoluto igual para os dois times (script:141-142), mas os lados são espelhados por equipe — medido no estado bruto: LB do time 0 tem hy=0,110 e LB do time 1 tem hy=0,785. Todo ala de um dos times é marcado NA PRÓPRIA POSIÇÃO-BASE. Sobre os 120 lances a régua do coletor marca 48,95% das amostras (≈ um time inteiro de alas); a régua relativa à base mede 96,31% de respeito ao lado.",§26 respeito aos lados,lado respeitado neste lance = 0.8750 (coletor dizia invasão em 100% dos quadros)
10,15002,47.0,tactical_snapshot,4-2-4 x 3-4-3,wings x press,P1_SUSPEITA,invasao_lateral,FALSO_POSITIVO,—,—,"Defeito de MEDIÇÃO do coletor, não do motor. A régua usa `y` absoluto igual para os dois times (script:141-142), mas os lados são espelhados por equipe — medido no estado bruto: LB do time 0 tem hy=0,110 e LB do time 1 tem hy=0,785. Todo ala de um dos times é marcado NA PRÓPRIA POSIÇÃO-BASE. Sobre os 120 lances a régua do coletor marca 48,95% das amostras (≈ um time inteiro de alas); a régua relativa à base mede 96,31% de respeito ao lado.",§26 respeito aos lados,lado respeitado neste lance = 1.0000 (coletor dizia invasão em 100% dos quadros)
10,15002,47.0,tactical_snapshot,4-2-4 x 3-4-3,wings x press,P1_SUSPEITA,ameaca_sem_marcador,CONFIRMADO_P0,defesa,_defendTarget ramo _markRef (30-r13-football-observer.js:561),"Cobertura de ameaça medida em 0,618 sobre 294 partidas (limite 0,65). As cinco tentativas de parâmetro registradas no handoff não moveram a métrica (travada em 0,68–0,71): o gargalo é o CÁLCULO da posição de marcação, não o ajuste. `_defendTarget` decide 27,4% das posições defensivas pelo ramo `_markRef`.",§30 defesa coletiva,persistent_uncovered = 1.00
11,15002,63.0,tactical_snapshot,4-2-4 x 3-4-3,wings x press,P0_SUSPEITA,velocidade,CONFIRMADO_P1,movimento,commitMovement + guarda global (29-r12:85 e :90),"A guarda de frame permite `maxSpd*dt*1.28 + 0.20` por passo. A 7 m/s e dt=1/30 isso autoriza 0,499 m/passo = 14,9 m/s = 2,14× maxSpd. O teto efetivo do motor é o dobro do atributo do jogador, então `maxSpd` não é limite de velocidade — é sugestão.",§32 física,max_speed_ratio = 1.519× maxSpd (reconferido no estado bruto)
11,15002,63.0,tactical_snapshot,4-2-4 x 3-4-3,wings x press,P0_SUSPEITA,invasao_lateral,FALSO_POSITIVO,—,—,"Defeito de MEDIÇÃO do coletor, não do motor. A régua usa `y` absoluto igual para os dois times (script:141-142), mas os lados são espelhados por equipe — medido no estado bruto: LB do time 0 tem hy=0,110 e LB do time 1 tem hy=0,785. Todo ala de um dos times é marcado NA PRÓPRIA POSIÇÃO-BASE. Sobre os 120 lances a régua do coletor marca 48,95% das amostras (≈ um time inteiro de alas); a régua relativa à base mede 96,31% de respeito ao lado.",§26 respeito aos lados,lado respeitado neste lance = 1.0000 (coletor dizia invasão em 100% dos quadros)
11,15002,63.0,tactical_snapshot,4-2-4 x 3-4-3,wings x press,P0_SUSPEITA,ameaca_sem_marcador,CONFIRMADO_P0,defesa,_defendTarget ramo _markRef (30-r13-football-observer.js:561),"Cobertura de ameaça medida em 0,618 sobre 294 partidas (limite 0,65). As cinco tentativas de parâmetro registradas no handoff não moveram a métrica (travada em 0,68–0,71): o gargalo é o CÁLCULO da posição de marcação, não o ajuste. `_defendTarget` decide 27,4% das posições defensivas pelo ramo `_markRef`.",§30 defesa coletiva,persistent_uncovered = 1.00
12,15002,75.0,intercept,4-2-4 x 3-4-3,wings x press,P0_SUSPEITA,velocidade,CONFIRMADO_P1,movimento,commitMovement + guarda global (29-r12:85 e :90),"A guarda de frame permite `maxSpd*dt*1.28 + 0.20` por passo. A 7 m/s e dt=1/30 isso autoriza 0,499 m/passo = 14,9 m/s = 2,14× maxSpd. O teto efetivo do motor é o dobro do atributo do jogador, então `maxSpd` não é limite de velocidade — é sugestão.",§32 física,max_speed_ratio = 1.793× maxSpd (reconferido no estado bruto)
12,15002,75.0,intercept,4-2-4 x 3-4-3,wings x press,P0_SUSPEITA,invasao_lateral,FALSO_POSITIVO,—,—,"Defeito de MEDIÇÃO do coletor, não do motor. A régua usa `y` absoluto igual para os dois times (script:141-142), mas os lados são espelhados por equipe — medido no estado bruto: LB do time 0 tem hy=0,110 e LB do time 1 tem hy=0,785. Todo ala de um dos times é marcado NA PRÓPRIA POSIÇÃO-BASE. Sobre os 120 lances a régua do coletor marca 48,95% das amostras (≈ um time inteiro de alas); a régua relativa à base mede 96,31% de respeito ao lado.",§26 respeito aos lados,lado respeitado neste lance = 0.8750 (coletor dizia invasão em 100% dos quadros)
13,15003,1.0,through,4-3-3 x 4-2-3-1,tiki x press,P1_SUSPEITA,invasao_lateral,FALSO_POSITIVO,—,—,"Defeito de MEDIÇÃO do coletor, não do motor. A régua usa `y` absoluto igual para os dois times (script:141-142), mas os lados são espelhados por equipe — medido no estado bruto: LB do time 0 tem hy=0,110 e LB do time 1 tem hy=0,785. Todo ala de um dos times é marcado NA PRÓPRIA POSIÇÃO-BASE. Sobre os 120 lances a régua do coletor marca 48,95% das amostras (≈ um time inteiro de alas); a régua relativa à base mede 96,31% de respeito ao lado.",§26 respeito aos lados,lado respeitado neste lance = 1.0000 (coletor dizia invasão em 100% dos quadros)
14,15003,15.0,tackle,4-3-3 x 4-2-3-1,tiki x press,P1_SUSPEITA,invasao_lateral,FALSO_POSITIVO,—,—,"Defeito de MEDIÇÃO do coletor, não do motor. A régua usa `y` absoluto igual para os dois times (script:141-142), mas os lados são espelhados por equipe — medido no estado bruto: LB do time 0 tem hy=0,110 e LB do time 1 tem hy=0,785. Todo ala de um dos times é marcado NA PRÓPRIA POSIÇÃO-BASE. Sobre os 120 lances a régua do coletor marca 48,95% das amostras (≈ um time inteiro de alas); a régua relativa à base mede 96,31% de respeito ao lado.",§26 respeito aos lados,lado respeitado neste lance = 1.0000 (coletor dizia invasão em 100% dos quadros)
15,15003,31.0,tactical_snapshot,4-3-3 x 4-2-3-1,tiki x press,P0_SUSPEITA,velocidade,CONFIRMADO_P1,movimento,commitMovement + guarda global (29-r12:85 e :90),"A guarda de frame permite `maxSpd*dt*1.28 + 0.20` por passo. A 7 m/s e dt=1/30 isso autoriza 0,499 m/passo = 14,9 m/s = 2,14× maxSpd. O teto efetivo do motor é o dobro do atributo do jogador, então `maxSpd` não é limite de velocidade — é sugestão.",§32 física,max_speed_ratio = 1.585× maxSpd (reconferido no estado bruto)
15,15003,31.0,tactical_snapshot,4-3-3 x 4-2-3-1,tiki x press,P0_SUSPEITA,invasao_lateral,FALSO_POSITIVO,—,—,"Defeito de MEDIÇÃO do coletor, não do motor. A régua usa `y` absoluto igual para os dois times (script:141-142), mas os lados são espelhados por equipe — medido no estado bruto: LB do time 0 tem hy=0,110 e LB do time 1 tem hy=0,785. Todo ala de um dos times é marcado NA PRÓPRIA POSIÇÃO-BASE. Sobre os 120 lances a régua do coletor marca 48,95% das amostras (≈ um time inteiro de alas); a régua relativa à base mede 96,31% de respeito ao lado.",§26 respeito aos lados,lado respeitado neste lance = 1.0000 (coletor dizia invasão em 100% dos quadros)
16,15003,47.0,tactical_snapshot,4-3-3 x 4-2-3-1,tiki x press,P0_SUSPEITA,teleporte,FALSO_POSITIVO,—,—,Troca de lado na virada do intervalo — deslocamento legítimo.,—,"13 saltos, todos com mudança de tempo ou em 44–47,5'"
16,15003,47.0,tactical_snapshot,4-3-3 x 4-2-3-1,tiki x press,P0_SUSPEITA,velocidade,CONFIRMADO_P1,movimento,commitMovement + guarda global (29-r12:85 e :90),"A guarda de frame permite `maxSpd*dt*1.28 + 0.20` por passo. A 7 m/s e dt=1/30 isso autoriza 0,499 m/passo = 14,9 m/s = 2,14× maxSpd. O teto efetivo do motor é o dobro do atributo do jogador, então `maxSpd` não é limite de velocidade — é sugestão.",§32 física,max_speed_ratio = 1.273× maxSpd (reconferido no estado bruto)
16,15003,47.0,tactical_snapshot,4-3-3 x 4-2-3-1,tiki x press,P0_SUSPEITA,invasao_lateral,FALSO_POSITIVO,—,—,"Defeito de MEDIÇÃO do coletor, não do motor. A régua usa `y` absoluto igual para os dois times (script:141-142), mas os lados são espelhados por equipe — medido no estado bruto: LB do time 0 tem hy=0,110 e LB do time 1 tem hy=0,785. Todo ala de um dos times é marcado NA PRÓPRIA POSIÇÃO-BASE. Sobre os 120 lances a régua do coletor marca 48,95% das amostras (≈ um time inteiro de alas); a régua relativa à base mede 96,31% de respeito ao lado.",§26 respeito aos lados,lado respeitado neste lance = 0.9688 (coletor dizia invasão em 100% dos quadros)
16,15003,47.0,tactical_snapshot,4-3-3 x 4-2-3-1,tiki x press,P0_SUSPEITA,ameaca_sem_marcador,CONFIRMADO_P0,defesa,_defendTarget ramo _markRef (30-r13-football-observer.js:561),"Cobertura de ameaça medida em 0,618 sobre 294 partidas (limite 0,65). As cinco tentativas de parâmetro registradas no handoff não moveram a métrica (travada em 0,68–0,71): o gargalo é o CÁLCULO da posição de marcação, não o ajuste. `_defendTarget` decide 27,4% das posições defensivas pelo ramo `_markRef`.",§30 defesa coletiva,persistent_uncovered = 1.00
17,15003,60.0,cross,4-3-3 x 4-2-3-1,tiki x press,P1_SUSPEITA,invasao_lateral,FALSO_POSITIVO,—,—,"Defeito de MEDIÇÃO do coletor, não do motor. A régua usa `y` absoluto igual para os dois times (script:141-142), mas os lados são espelhados por equipe — medido no estado bruto: LB do time 0 tem hy=0,110 e LB do time 1 tem hy=0,785. Todo ala de um dos times é marcado NA PRÓPRIA POSIÇÃO-BASE. Sobre os 120 lances a régua do coletor marca 48,95% das amostras (≈ um time inteiro de alas); a régua relativa à base mede 96,31% de respeito ao lado.",§26 respeito aos lados,lado respeitado neste lance = 1.0000 (coletor dizia invasão em 100% dos quadros)
17,15003,60.0,cross,4-3-3 x 4-2-3-1,tiki x press,P1_SUSPEITA,ameaca_sem_marcador,CONFIRMADO_P0,defesa,_defendTarget ramo _markRef (30-r13-football-observer.js:561),"Cobertura de ameaça medida em 0,618 sobre 294 partidas (limite 0,65). As cinco tentativas de parâmetro registradas no handoff não moveram a métrica (travada em 0,68–0,71): o gargalo é o CÁLCULO da posição de marcação, não o ajuste. `_defendTarget` decide 27,4% das posições defensivas pelo ramo `_markRef`.",§30 defesa coletiva,persistent_uncovered = 1.00
18,15003,75.0,tactical_snapshot,4-3-3 x 4-2-3-1,tiki x press,P1_SUSPEITA,invasao_lateral,FALSO_POSITIVO,—,—,"Defeito de MEDIÇÃO do coletor, não do motor. A régua usa `y` absoluto igual para os dois times (script:141-142), mas os lados são espelhados por equipe — medido no estado bruto: LB do time 0 tem hy=0,110 e LB do time 1 tem hy=0,785. Todo ala de um dos times é marcado NA PRÓPRIA POSIÇÃO-BASE. Sobre os 120 lances a régua do coletor marca 48,95% das amostras (≈ um time inteiro de alas); a régua relativa à base mede 96,31% de respeito ao lado.",§26 respeito aos lados,lado respeitado neste lance = 1.0000 (coletor dizia invasão em 100% dos quadros)
18,15003,75.0,tactical_snapshot,4-3-3 x 4-2-3-1,tiki x press,P1_SUSPEITA,ameaca_sem_marcador,CONFIRMADO_P0,defesa,_defendTarget ramo _markRef (30-r13-football-observer.js:561),"Cobertura de ameaça medida em 0,618 sobre 294 partidas (limite 0,65). As cinco tentativas de parâmetro registradas no handoff não moveram a métrica (travada em 0,68–0,71): o gargalo é o CÁLCULO da posição de marcação, não o ajuste. `_defendTarget` decide 27,4% das posições defensivas pelo ramo `_markRef`.",§30 defesa coletiva,persistent_uncovered = 1.00
19,15004,3.0,tactical_snapshot,4-3-3 x 4-2-3-1,counter x direct,P1_SUSPEITA,invasao_lateral,FALSO_POSITIVO,—,—,"Defeito de MEDIÇÃO do coletor, não do motor. A régua usa `y` absoluto igual para os dois times (script:141-142), mas os lados são espelhados por equipe — medido no estado bruto: LB do time 0 tem hy=0,110 e LB do time 1 tem hy=0,785. Todo ala de um dos times é marcado NA PRÓPRIA POSIÇÃO-BASE. Sobre os 120 lances a régua do coletor marca 48,95% das amostras (≈ um time inteiro de alas); a régua relativa à base mede 96,31% de respeito ao lado.",§26 respeito aos lados,lado respeitado neste lance = 1.0000 (coletor dizia invasão em 100% dos quadros)
19,15004,3.0,tactical_snapshot,4-3-3 x 4-2-3-1,counter x direct,P1_SUSPEITA,ameaca_sem_marcador,CONFIRMADO_P0,defesa,_defendTarget ramo _markRef (30-r13-football-observer.js:561),"Cobertura de ameaça medida em 0,618 sobre 294 partidas (limite 0,65). As cinco tentativas de parâmetro registradas no handoff não moveram a métrica (travada em 0,68–0,71): o gargalo é o CÁLCULO da posição de marcação, não o ajuste. `_defendTarget` decide 27,4% das posições defensivas pelo ramo `_markRef`.",§30 defesa coletiva,persistent_uncovered = 0.92
20,15004,15.0,tactical_snapshot,4-3-3 x 4-2-3-1,counter x direct,P1_SUSPEITA,invasao_lateral,FALSO_POSITIVO,—,—,"Defeito de MEDIÇÃO do coletor, não do motor. A régua usa `y` absoluto igual para os dois times (script:141-142), mas os lados são espelhados por equipe — medido no estado bruto: LB do time 0 tem hy=0,110 e LB do time 1 tem hy=0,785. Todo ala de um dos times é marcado NA PRÓPRIA POSIÇÃO-BASE. Sobre os 120 lances a régua do coletor marca 48,95% das amostras (≈ um time inteiro de alas); a régua relativa à base mede 96,31% de respeito ao lado.",§26 respeito aos lados,lado respeitado neste lance = 1.0000 (coletor dizia invasão em 100% dos quadros)
21,15004,31.0,tactical_snapshot,4-3-3 x 4-2-3-1,counter x direct,P1_SUSPEITA,invasao_lateral,CONFIRMADO_P1,posicionamento,_attackTarget / _defendTarget,"Invasão de lado sobrevive à régua corrigida (relativa à posição-base). §26 admite invasão por rotação, cobertura, transição ou perseguição — mas exige motivo, duração, compensação e retorno, e o motor não registra nenhum dos quatro (§18 não implementado).",§18 contrato de função (não iniciada),lado respeitado neste lance = 0.7708
22,15004,47.0,tactical_snapshot,4-3-3 x 4-2-3-1,counter x direct,P0_SUSPEITA,teleporte,FALSO_POSITIVO,—,—,Troca de lado na virada do intervalo — deslocamento legítimo.,—,"8 saltos, todos com mudança de tempo ou em 44–47,5'"
22,15004,47.0,tactical_snapshot,4-3-3 x 4-2-3-1,counter x direct,P0_SUSPEITA,velocidade,CONFIRMADO_P1,movimento,commitMovement + guarda global (29-r12:85 e :90),"A guarda de frame permite `maxSpd*dt*1.28 + 0.20` por passo. A 7 m/s e dt=1/30 isso autoriza 0,499 m/passo = 14,9 m/s = 2,14× maxSpd. O teto efetivo do motor é o dobro do atributo do jogador, então `maxSpd` não é limite de velocidade — é sugestão.",§32 física,max_speed_ratio = 1.291× maxSpd (reconferido no estado bruto)
22,15004,47.0,tactical_snapshot,4-3-3 x 4-2-3-1,counter x direct,P0_SUSPEITA,invasao_lateral,FALSO_POSITIVO,—,—,"Defeito de MEDIÇÃO do coletor, não do motor. A régua usa `y` absoluto igual para os dois times (script:141-142), mas os lados são espelhados por equipe — medido no estado bruto: LB do time 0 tem hy=0,110 e LB do time 1 tem hy=0,785. Todo ala de um dos times é marcado NA PRÓPRIA POSIÇÃO-BASE. Sobre os 120 lances a régua do coletor marca 48,95% das amostras (≈ um time inteiro de alas); a régua relativa à base mede 96,31% de respeito ao lado.",§26 respeito aos lados,lado respeitado neste lance = 1.0000 (coletor dizia invasão em 100% dos quadros)
22,15004,47.0,tactical_snapshot,4-3-3 x 4-2-3-1,counter x direct,P0_SUSPEITA,ameaca_sem_marcador,CONFIRMADO_P0,defesa,_defendTarget ramo _markRef (30-r13-football-observer.js:561),"Cobertura de ameaça medida em 0,618 sobre 294 partidas (limite 0,65). As cinco tentativas de parâmetro registradas no handoff não moveram a métrica (travada em 0,68–0,71): o gargalo é o CÁLCULO da posição de marcação, não o ajuste. `_defendTarget` decide 27,4% das posições defensivas pelo ramo `_markRef`.",§30 defesa coletiva,persistent_uncovered = 1.00
23,15004,63.0,tactical_snapshot,4-3-3 x 4-2-3-1,counter x direct,P1_SUSPEITA,invasao_lateral,FALSO_POSITIVO,—,—,"Defeito de MEDIÇÃO do coletor, não do motor. A régua usa `y` absoluto igual para os dois times (script:141-142), mas os lados são espelhados por equipe — medido no estado bruto: LB do time 0 tem hy=0,110 e LB do time 1 tem hy=0,785. Todo ala de um dos times é marcado NA PRÓPRIA POSIÇÃO-BASE. Sobre os 120 lances a régua do coletor marca 48,95% das amostras (≈ um time inteiro de alas); a régua relativa à base mede 96,31% de respeito ao lado.",§26 respeito aos lados,lado respeitado neste lance = 1.0000 (coletor dizia invasão em 100% dos quadros)
